,Rank,Player
0,1,Le'Veon Bell
1,2,Todd Gurley
2,3,David Johnson
3,4,Ezekiel Elliott
4,5,Antonio Brown
5,6,Saquon Barkley
6,7,Alvin Kamara
7,8,Julio Jones
8,9,Odell Beckham
9,10,DeAndre Hopkins
10,11,Kareem Hunt
11,12,Leonard Fournette
12,13,Dalvin Cook
13,14,Melvin Gordon
14,15,Keenan Allen
15,16,Michael Thomas
16,17,Devonta Freeman
17,18,A.J. Green
18,19,Jordan Howard
19,20,Rob Gronkowski
20,21,Davante Adams
21,22,Mike Evans
22,23,Christian McCaffrey
23,24,Larry Fitzgerald
24,25,T.Y. Hilton
25,26,Adam Thielen
26,27,Doug Baldwin
27,28,Stefon Diggs
28,29,Travis Kelce
29,30,Zach Ertz
30,31,Tyreek Hill
31,32,Allen Robinson
32,33,Josh Gordon
33,34,Alshon Jeffery
34,35,Amari Cooper
35,36,LeSean McCoy
36,37,Jerick McKinnon
37,38,Joe Mixon
38,39,Demaryius Thomas
39,40,Brandin Cooks
40,41,Marvin Jones
41,42,Golden Tate
42,43,Kenyan Drake
43,44,Royce Freeman
44,45,Derrius Guice
45,46,Ronald Jones
46,47,Alex Collins
47,48,Rashaad Penny
48,49,Derrick Henry
49,50,Jay Ajayi
50,51,JuJu Smith-Schuster
51,52,Robert Woods
52,53,Jarvis Landry
53,54,Emmanuel Sanders
54,55,Marshawn Lynch
55,56,Aaron Rodgers
56,57,Tom Brady
57,58,Sony Michel
58,59,Isaiah Crowell
59,60,Lamar Miller
60,61,Tevin Coleman
61,62,Corey Davis
62,63,Pierre Garcon
63,64,Devin Funchess
64,65,Michael Crabtree
65,66,Cam Newton
66,67,Carson Wentz
67,68,Russell Wilson
68,69,Deshaun Watson
69,70,Chris Hogan
70,71,Sammy Watkins
71,72,Kelvin Benjamin
72,73,Will Fuller
73,74,Kenny Stills
74,75,Randall Cobb
75,76,Josh Doctson
76,77,Greg Olsen
77,78,Delanie Walker
78,79,Evan Engram
79,80,Dion Lewis
80,81,Robby Anderson
81,82,Marquise Goodwin
82,83,Rex Burkhead
83,84,Jimmy Graham
84,85,Kerryon Johnson
85,86,Carlos Hyde
86,87,Marlon Mack
87,88,Cooper Kupp
88,89,DeVante Parker
89,90,Jordan Reed
90,91,Sterling Shepard
91,92,DeSean Jackson
92,93,Julian Edelman
93,94,Jamaal Williams
94,95,Duke Johnson
95,96,Tarik Cohen
96,97,Mark Ingram
97,98,Nick Chubb
98,99,Kyle Rudolph
99,100,Chris Thompson
100,101,Jamison Crowder
101,102,Rishard Matthews
102,103,Kenny Golladay
103,104,Allen Hurns
104,105,Jordy Nelson
105,106,Nelson Agholor
106,107,Chris Carson
107,108,C.J. Anderson
108,109,Ty Montgomery
109,110,Trey Burton
110,111,David Njoku
111,112,Giovani Bernard
112,113,Latavius Murray
113,114,Jordan Wilkins
114,115,Marqise Lee
115,116,Paul Richardson
116,117,Andrew Luck
117,118,Ben Roethlisberger
118,119,Kirk Cousins
119,120,Jack Doyle
120,121,D.J. Moore
121,122,Cameron Meredith
122,123,Mohamed Sanu
123,124,Tyler Lockett
124,125,Michael Gallup
125,126,Calvin Ridley
126,127,Matthew Stafford
127,128,Drew Brees
128,129,Jordan Matthews
129,130,Dez Bryant
130,131,John Ross
131,132,Martavis Bryant
132,133,Charles Clay
133,134,Patrick Mahomes
134,135,Philip Rivers
135,136,George Kittle
136,137,Jimmy Garoppolo
137,138,Matt Ryan
138,139,Alex Smith
139,140,Marcus Mariota
140,141,Danny Amendola
141,142,Anthony Miller
142,143,Zay Jones
143,144,James Washington
144,145,Donte Moncrief
145,146,Mike Williams
146,147,James White
147,148,Theo Riddick
148,149,Devontae Booker
149,150,Nyheim Hines
150,151,Doug Martin
151,152,Matt Breida
152,153,LeGarrette Blount
153,154,Kenneth Dixon
154,155,Aaron Jones
155,156,Jaguars 
156,157,Tyler Eifert
157,158,Christian Kirk
158,159,Mike Wallace
159,160,Terrelle Pryor
160,161,Darren Sproles
161,162,Dak Prescott
162,163,Jared Goff
163,164,Cameron Brate
164,165,Chris Godwin
165,166,Austin Seferian-Jenkins
166,167,Corey Clement
167,168,Mitchell Trubisky
168,169,John Brown
169,170,Eagles 
170,171,Rams 
171,172,Vikings 
172,173,Texans 
173,174,Ravens 
174,175,Greg Zuerlein
175,176,Stephen Gostkowski
176,177,Justin Tucker
177,178,Patriots 
178,179,Chargers 
179,180,Broncos 
180,181,Saints 
181,182,Titans 
182,183,Panthers 
183,184,Matt Bryant
184,185,Wil Lutz
185,186,Chris Boswell
186,187,Robbie Gould
187,188,Jake Elliott
188,189,Matt Prater
189,190,Harrison Butker
190,191,Adaminatieri
191,192,Graham Gano
192,193,Bilal Powell
193,194,D'Onta Foreman
194,195,Chris Ivory
195,196,Vance McDonald
196,197,Benjamin Watson
197,198,Jared Cook
198,199,Austin Ekeler
199,200,Spencer Ware
200,201,Chase Edmonds
201,202,Frank Gore
202,203,Peyton Barber
203,204,Elijah McGuire
204,205,Jonathan Stewart
205,206,Javorius Allen
206,207,T.J. Yeldon
207,208,John Kelly
208,209,C.J. Prosise
209,210,O.J. Howard
210,211,Eric Ebron
211,212,Tyrod Taylor
212,213,Albert Wilson
213,214,Ted Ginn
214,215,Terrance Williams
215,216,Willie Snead
216,217,Keelan Cole
217,218,Tyrell Williams
218,219,Andy Dalton
219,220,Ryan Tannehill
220,221,Redskins 
221,222,Cardinals 
222,223,Dan Bailey
223,224,Ryan Succop
224,225,Brandon Marshall
225,226,Courtland Sutton
226,227,Deon Cain
227,228,Travis Benjamin
228,229,Adam Humphries
229,230,Quincy Enunwa
230,231,Ryan Grant
231,232,Jermaine Kearse
232,233,Taywan Taylor
233,234,Keke Coutee
234,235,Corey Grant
235,236,Alfred Blue
236,237,Mark Walton
237,238,Tavon Austin
238,239,Charles Sims
239,240,Wayne Gallman
240,241,Joe Williams
241,242,James Conner
242,243,Eli Manning
243,244,Jameis Winston
244,245,Derek Carr
245,246,Austin Hooper
246,247,Ricky Seals-Jones
247,248,Antonio Gates
248,249,Mike Gesicki
249,250,De'Angelo Henderson
250,251,D.J. Chark
251,252,Curtis Samuel
252,253,Falcons 
253,254,Cowboys 
254,255,Daniel Carlson
255,256,Mason Crosby
256,257,Ryan Griffin
257,258,Gerald Everett
258,259,Hayden Hurst
259,260,Brandon LaFell
260,261,Kendall Wright
261,262,Taylor Gabriel
262,263,Dede Westbrook
263,264,Kalen Ballage
264,265,Terrance West
265,266,Case Keenum
266,267,Blake Bortles
267,268,Joe Flacco
268,269,Sam Bradford
269,270,Josh McCown
270,271,Trent Taylor
271,272,Geronimo Allison
272,273,Cole Beasley
273,274,J.J. Nelson
274,275,DaeSean Hamilton
275,276,Boston Scott
276,277,Jaylen Samuels
277,278,Damien Williams
278,279,T.J. Logan
279,280,Mike Gillislee
280,281,Jeremy Hill
281,282,Rod Smith
282,283,Justin Jackson
